update,update_time,weights,cosine
1123,202.086414848,15.477999999999888_-2.4521184351980603_-8.899236870396047_16.332986601633184,0.38275377955680423
1124,202.087488131,15.294999999999888_-2.6781184351980603_-9.056236870396047_16.368986601633186,0.3823327029748803
1125,202.08846793,15.562999999999889_-2.4101184351980605_-8.518236870396047_16.367986601633184,0.37778914917118345
1126,205.35285792,15.56499999999989_-2.4071184351980603_-8.508236870396047_16.370986601633184,0.3775984230939411
1127,205.353806121,15.571999999999889_-2.4011184351980606_-8.491236870396047_16.370986601633184,0.3774494200298186
1128,205.787171309,15.582999999999888_-2.3901184351980604_-8.471236870396048_16.371986601633186,0.37727718740499006
1129,205.91980193199998,15.593999999999888_-2.3791184351980603_-8.440236870396047_16.375986601633187,0.37688373603966197
1130,210.58674087,15.584999999999887_-2.3901184351980604_-8.438236870396047_16.383986601633186,0.376573631051781
1131,210.917257739,15.574999999999887_-2.3981184351980604_-8.382236870396047_16.378986601633187,0.3757958339667964
1132,211.18495540199999,15.583999999999888_-2.3891184351980606_-8.354236870396047_16.381986601633187,0.37544579896732744
1133,211.186043983,15.581999999999887_-2.3931184351980606_-8.339236870396046_16.38898660163319,0.37506248348855353
1134,211.187488205,15.554999999999888_-2.4251184351980606_-8.304236870396046_16.39298660163319,0.3742000507820702
1135,211.33248501399999,15.552999999999887_-2.4291184351980606_-8.294236870396047_16.39898660163319,0.37390921519634446
1136,211.33343213,15.591999999999887_-2.3971184351980606_-8.109236870396046_16.43898660163319,0.37094623368223445
1137,211.558248113,15.597999999999887_-2.3901184351980604_-8.081236870396046_16.44698660163319,0.3704466217783794
1138,212.146969233,15.599999999999888_-2.3881184351980607_-8.077236870396046_16.44698660163319,0.3704161566224543
1139,212.148309493,15.596999999999888_-2.3911184351980608_-8.080236870396046_16.44498660163319,0.3704678818360262
1140,212.149564605,15.597999999999887_-2.389118435198061_-8.077236870396046_16.44498660163319,0.370434138303976
1141,212.277544425,15.605999999999886_-2.379118435198061_-7.999236870396046_16.44698660163319,0.36941970371191746
1142,212.416166531,15.611999999999886_-2.372118435198061_-7.981236870396046_16.44498660163319,0.36929024803818244
1143,212.417253551,15.616999999999887_-2.368118435198061_-7.963236870396046_16.44698660163319,0.3690661501382033
1144,212.56400433,15.621999999999888_-2.361118435198061_-7.918236870396046_16.454986601633188,0.368325772552201
1145,212.565277345,15.621999999999888_-2.360118435198061_-7.917236870396046_16.454986601633188,0.36830739159045234
1146,212.994094927,15.610999999999889_-2.372118435198061_-7.914236870396046_16.46498660163319,0.3679085371572913
1147,213.273670938,15.626999999999889_-2.3541184351980613_-7.840236870396046_16.47898660163319,0.366775330769335
1148,213.392825901,15.626999999999889_-2.3541184351980613_-7.8392368703960456_16.47898660163319,0.3667619802902855
1149,214.035619659,15.626999999999889_-2.3521184351980615_-7.830236870396045_16.47898660163319,0.36663190490863196
1150,214.231272008,15.621999999999888_-2.3581184351980613_-7.830236870396045_16.48198660163319,0.3665073529165318
1151,214.232227676,15.617999999999888_-2.3621184351980613_-7.835236870396045_16.480986601633187,0.3665492488653077
1152,214.384777385,15.620999999999889_-2.359118435198061_-7.828236870396045_16.479986601633186,0.3665149634364966
1153,214.385755364,15.611999999999888_-2.3701184351980613_-7.809236870396045_16.484986601633185,0.3660476221218313
1154,214.520106294,15.606999999999887_-2.376118435198061_-7.804236870396045_16.487986601633185,0.36585651114563866
1155,217.895579631,15.599999999999888_-2.384118435198061_-7.809236870396045_16.490986601633185,0.3657749005242704
1156,218.574428405,15.598999999999888_-2.384118435198061_-7.808236870396045_16.491986601633187,0.3657214290963534
1157,219.90527823,15.600999999999889_-2.3821184351980613_-7.791236870396045_16.491986601633187,0.36551864502778275
1158,219.90611305,15.59699999999989_-2.3861184351980613_-7.795236870396044_16.492986601633188,0.36550088998855657
1159,219.907026149,15.59899999999989_-2.3841184351980615_-7.723236870396044_16.48798660163319,0.3646817357178117
1160,222.20278855499998,15.60499999999989_-2.3771184351980614_-7.696236870396044_16.49498660163319,0.3642287545331714
1161,222.203887379,15.574999999999891_-2.4601184351980616_-7.438236870396044_16.57498660163319,0.3588976455697592
1162,222.204579324,15.570999999999891_-2.4641184351980616_-7.440236870396044_16.576986601633187,0.3588297217556511
1163,222.205305145,15.567999999999891_-2.4661184351980614_-7.441236870396044_16.578986601633186,0.35875568008380954
1164,222.381698872,15.560999999999892_-2.4741184351980614_-7.440236870396044_16.583986601633185,0.35854893837665125
